,0,1,2,3,4,5,6,7
0,Europe,Yield,Day,Weekly,Monthly,YoY,Date,
1,United,Kingdom,4.6730,0.0580,0.08%,0.42%,2.10%,Aug/22
2,Germany,2.6590,0.0470,-0.02%,0.27%,1.34%,Aug/22,
3,Russia,11.8000,0.0200,-0.12%,0.35%,2.53%,Aug/22,
4,Italy,4.3250,0.0830,-0.04%,0.30%,0.68%,Aug/22,
5,France,3.1870,0.0620,-0.03%,0.24%,1.27%,Aug/22,
6,Switzerland,1.0530,0.0330,-0.02%,0.13%,0.26%,Aug/22,
7,Turkey,18.2800,0.0800,-0.31%,0.34%,4.99%,Aug/22,
8,Slovakia,3.9090,0.0720,0.00%,0.29%,1.57%,Aug/22,
9,Slovenia,3.6130,0.0030,0.02%,0.30%,1.22%,Aug/22,
10,Spain,3.6930,0.0640,-0.02%,0.26%,1.19%,Aug/22,
11,Sweden,2.9420,0.0390,0.09%,0.50%,1.16%,Aug/22,
12,Latvia,0.5490,0.0000,0.00%,0.00%,0.00%,Aug/21,
13,Lithuania,4.2490,0.0040,0.06%,-0.16%,1.35%,Aug/22,
14,Netherlands,3.0040,0.0510,-0.01%,0.26%,1.37%,Aug/22,
15,Norway,4.0310,0.0210,0.13%,0.32%,0.77%,Aug/22,
16,Poland,5.7780,0.0300,0.21%,0.36%,-0.55%,Aug/22,
17,Portugal,3.3790,0.0710,-0.03%,0.25%,0.97%,Aug/22,
18,Romania,7.1300,0.1400,0.29%,0.62%,-0.82%,Aug/22,
19,Greece,3.9810,0.0340,-0.01%,0.23%,0.04%,Aug/22,
20,Hungary,7.7000,0.0100,0.26%,0.42%,-1.01%,Aug/22,
21,Iceland,6.8520,0.0440,0.00%,0.27%,1.13%,Aug/22,
22,Ireland,3.0530,0.0570,-0.05%,0.21%,1.11%,Aug/22,
23,Austria,3.2710,0.0440,-0.02%,0.24%,1.36%,Aug/22,
24,Belgium,3.3040,0.0540,-0.04%,0.24%,1.37%,Aug/22,
25,Bulgaria,4.5000,0.0000,0.00%,0.00%,1.50%,Aug/22,
26,Croatia,3.9680,0.0000,0.00%,0.21%,1.59%,Aug/22,
27,Czech,Republic,4.4700,0.0070,0.12%,0.46%,-0.08%,Aug/22
28,Denmark,2.9460,0.0480,-0.01%,0.26%,1.28%,Aug/22,
29,Finland,3.2300,0.0600,-0.02%,0.24%,1.48%,Aug/22,
